timestamp,base_yaw.pos,base_pitch.pos,elbow_pitch.pos,wrist_roll.pos,wrist_pitch.pos
423.452918482,-8.776167471819633,-6.825938566552907,-21.94480946123521,10.374230222643305,-10.303030303030297
423.486397221,-8.776167471819633,-6.825938566552907,-21.94480946123521,10.374230222643305,-10.303030303030297
423.519845423,-8.776167471819633,-6.825938566552907,-21.94480946123521,10.374230222643305,-10.303030303030297
423.553303662,-8.776167471819633,-6.825938566552907,-21.94480946123521,10.374230222643305,-10.303030303030297
423.586734845,-8.776167471819633,-6.825938566552907,-21.94480946123521,10.374230222643305,-10.303030303030297
423.620334955,-8.776167471819633,-6.939704209328781,-21.813403416557165,10.374230222643305,-10.303030303030297
423.653795194,-8.776167471819633,-6.939704209328781,-21.813403416557165,10.374230222643305,-10.303030303030297
423.68723634,-8.776167471819633,-6.939704209328781,-21.813403416557165,10.374230222643305,-10.303030303030297
423.720666931,-8.776167471819633,-6.939704209328781,-21.813403416557165,10.374230222643305,-10.303030303030297
423.754132448,-8.776167471819633,-6.939704209328781,-21.813403416557165,10.374230222643305,-10.303030303030297
423.787615854,-8.776167471819633,-6.939704209328781,-21.813403416557165,10.374230222643305,-10.303030303030297
423.821056055,-8.776167471819633,-6.939704209328781,-21.813403416557165,10.374230222643305,-10.303030303030297
423.854518517,-8.776167471819633,-6.939704209328781,-21.813403416557165,10.374230222643305,-10.505050505050505
423.887981441,-8.856682769726248,-6.939704209328781,-21.550591327201047,10.374230222643305,-10.505050505050505
423.921428143,-8.856682769726248,-6.825938566552907,-21.156373193166885,10.374230222643305,-10.505050505050505
423.954865641,-8.856682769726248,-6.825938566552907,-20.762155059132724,10.374230222643305,-10.505050505050505
423.988311917,-8.856682769726248,-6.825938566552907,-20.630749014454665,10.374230222643305,-10.505050505050505
424.021769971,-8.856682769726248,-6.939704209328781,-20.367936925098547,10.374230222643305,-10.505050505050505
424.055232395,-8.856682769726248,-6.939704209328781,-20.105124835742444,10.374230222643305,-10.505050505050505
424.088688189,-8.937198067632849,-6.939704209328781,-20.105124835742444,10.374230222643305,-10.505050505050505
424.122127947,-8.937198067632849,-6.939704209328781,-20.105124835742444,10.374230222643305,-10.505050505050505
424.155579667,-8.856682769726248,-6.939704209328781,-19.973718791064385,10.374230222643305,-10.505050505050505
424.189032554,-8.856682769726248,-6.939704209328781,-19.973718791064385,10.374230222643305,-10.505050505050505
424.222466312,-8.856682769726248,-6.939704209328781,-19.84231274638634,10.374230222643305,-10.505050505050505
424.255923754,-8.856682769726248,-6.825938566552907,-19.710906701708268,10.374230222643305,-10.505050505050505
424.289348271,-8.856682769726248,-6.825938566552907,-19.579500657030223,10.374230222643305,-10.505050505050505
424.322803677,-8.856682769726248,-6.825938566552907,-19.579500657030223,10.374230222643305,-10.505050505050505
424.356273786,-8.856682769726248,-6.825938566552907,-19.84231274638634,10.374230222643305,-10.505050505050505
424.389718544,-8.856682769726248,-6.825938566552907,-20.236530880420503,10.374230222643305,-10.505050505050505
424.423165671,-8.856682769726248,-6.825938566552907,-20.893561103810782,10.374230222643305,-10.505050505050505
424.456614633,-8.856682769726248,-6.939704209328781,-21.419185282523003,10.468972051160591,-10.505050505050505
424.490071242,-8.856682769726248,-6.939704209328781,-21.813403416557165,10.468972051160591,-10.505050505050505
424.523493203,-8.856682769726248,-6.939704209328781,-22.076215505913282,10.468972051160591,-10.505050505050505
424.556926757,-8.776167471819633,-6.939704209328781,-22.207621550591327,10.468972051160591,-10.505050505050505
424.590386459,-8.776167471819633,-6.825938566552907,-22.207621550591327,10.468972051160591,-10.101010101010104
424.623850549,-8.776167471819633,-6.825938566552907,-22.207621550591327,10.468972051160591,-9.494949494949495
424.657301974,-8.776167471819633,-6.825938566552907,-22.207621550591327,10.468972051160591,-9.494949494949495
424.690774768,-8.776167471819633,-6.825938566552907,-22.207621550591327,10.468972051160591,-9.292929292929301
424.724209007,-8.534621578099845,-6.825938566552907,-22.470433639947444,10.18474656560872,-8.484848484848484
424.757642913,-7.971014492753625,-6.825938566552907,-23.12746386333771,9.52155376598769,-8.282828282828277
424.791115244,-7.890499194847024,-6.939704209328781,-24.31011826544021,9.33207010895309,-8.282828282828277
424.824557354,-7.890499194847024,-7.053469852104669,-25.755584756898813,9.237328280435818,-8.282828282828277
424.857997907,-7.809983896940423,-7.1672354948805435,-26.938239159001313,9.237328280435818,-8.282828282828277
424.891423794,-7.729468599033822,-7.1672354948805435,-27.72667542706965,9.237328280435818,-8.282828282828277
424.924864274,-7.165861513687602,-7.1672354948805435,-28.252299605781857,9.237328280435818,-8.282828282828277
424.95831118,-6.038647342995176,-7.1672354948805435,-28.515111695137975,9.237328280435818,-8.282828282828277
424.991766474,-4.106280193236714,-7.1672354948805435,-28.777923784494092,9.237328280435818,-8.282828282828277
425.025217435,-1.5297906602254443,-7.053469852104669,-29.040735873850196,9.237328280435818,-8.282828282828277
425.058692526,1.5297906602254443,-7.053469852104669,-29.172141918528254,9.237328280435818,-8.282828282828277
425.092124987,4.911433172302736,-6.939704209328781,-29.303547963206313,9.237328280435818,-8.080808080808083
425.125717504,8.293075684380028,-6.939704209328781,-29.566360052562416,9.142586451918518,-8.080808080808083
425.159170651,11.433172302737532,-6.484641638225256,-30.22339027595268,9.047844623401218,-8.080808080808083
425.192621223,14.25120772946859,-6.370875995449381,-31.406044678055196,8.858360966366646,-8.282828282828277
425.226097888,16.344605475040268,-6.02957906712173,-32.8515111695138,8.100426338228317,-8.484848484848484
